#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L107-S785      1236.708  3887.035  17.307   0.039 1.18300    8.795230  16.813   0.676   0.797   0.392  38  28  30  24
  L107-S788      1064.327  3926.505  17.284   0.039 1.18300    8.795230  16.782   0.711   0.809   0.393  37  27  28  23
  L107-S789      1150.181  3983.885  16.643   0.022 1.18300    8.795230  15.994   0.832   0.966   0.463  37  26  28  23
  L107-S790       873.069  3981.758  15.194   0.007 1.18300    8.795230  14.673   0.713   0.805   0.377  37  27  28  23
  L107-S1162     1147.273  1912.137  17.486   0.047 1.18300    8.795230  16.782   0.877   1.004   0.468  69  54  66  49
  L107-S1317     1650.093  3967.164  17.110   0.033 1.18300    8.795230  16.079   1.252   1.584   0.738  35  26  28  21
  L110-358        514.490  2081.909  15.342   0.010 1.32800    9.014287  14.417   1.079   1.282   0.639  79  70  50  31
  L110-S409       156.098   970.746  16.434   0.025 1.32800    9.014287  14.756   1.965   2.433   1.197  92  69  60  41
  L110-S417        77.720  1094.104  16.027   0.018 1.32800    9.014287  14.905   1.300   1.521   0.759  99  82  67  41
  L110-S463      1884.081  1993.359  12.998   0.002 1.32800    9.014287  12.288   0.861   1.016   0.556  57  57  42  24
  L110-S505       539.849  2911.682  14.379   0.005 1.32800    9.014287  13.638   0.884   0.986   0.474 104  86  61  40
  L110-S555      1724.335  3945.850  16.259   0.021 1.32800    9.014287  15.349   1.204   1.397   0.647  55  55  39  14
  L111-S303      1551.115    80.015  14.232   0.004 1.51700    9.223706  13.498   0.859   0.974  87.475   6   6   6   0
  L111-S309      1748.279   202.386  15.608   0.013 1.51700    9.223706  14.683   1.017   1.133  86.449   6   6   6   0
  L111-S315      1365.174   250.709  14.296   0.005 1.51700    9.223706  13.011   1.451   1.566  88.554   6   6   6   0
  L111-S318       760.563   406.979  16.000   0.017 1.51700    9.223706  15.243   0.868   1.063  85.819   6   6   6   0
  L111-S332      1208.630   844.125  14.729   0.006 1.51700    9.223706  13.143   1.779   1.934  88.790   6   6   6   0
  L111-S336      1103.082   932.547  14.927   0.007 1.51700    9.223706  13.712   1.389   1.484  87.771   6   6   6   0
  L111-S344      1584.392  1224.559  14.794   0.006 1.51700    9.223706  13.321   1.661   1.862  88.540   6   6   6   0
  L111-S352      1246.159  1496.347  15.618   0.012 1.51700    9.223706  14.845   0.930   1.122  86.276   6   6   6   0
  L98-562        1969.413    33.876  12.571   0.002 1.21400    0.393961  12.172   0.514   0.603   0.291 148 145 138  76
  L98-563         307.942    71.698  14.481   0.005 1.21400    0.393961  14.155   0.463   0.625   0.346 165 156 158  86
  L98-580         244.671   528.024  15.012   0.007 1.21400    0.393961  14.703   0.413   0.514   0.291 175 168 162  95
  L98-581         467.340   537.547  14.819   0.007 1.21400    0.393961  14.610   0.313   0.389   0.228 181 173 168  98
  L98-590        1220.022   713.796  15.785   0.014 1.21400    0.393961  14.671   1.354   1.522   0.745 175 171 158  97
  L98-600         495.991   785.682  11.534   0.001 1.21400    0.393961  11.087   0.573   0.652   0.312 155 155 144  88
s L98-607         298.898   943.781  11.216   0.001 1.21400    0.393961  11.149   0.157   0.215   0.122 153 152 139  88
  L98-613         287.799   996.012  11.900   0.001 1.21400    0.393961  11.814   0.180   0.246   0.145 162 161 145  90
  L98-614        1614.369  1032.514  16.377   0.024 1.21400    0.393961  15.441   1.041   1.210   0.572 185 170 169  97
  L98-618        1453.622  1083.631  14.601   0.006 1.21400    0.393961  12.755   2.200   2.419   1.136 201 187 180 109
  L98-624        1675.232  1209.699  14.393   0.005 1.21400    0.393961  13.775   0.778   0.834   0.386 197 180 176  94
  L98-626        1573.913  1241.889  15.950   0.016 1.21400    0.393961  14.771   1.446   1.598   0.777 196 182 173  92
  L98-632         398.251  1377.867  11.604   0.001 1.21400    0.393961  11.535   0.167   0.238   0.141 180 179 160  99
  L98-634        1529.139  1428.743  15.161   0.008 1.21400    0.393961  14.640   0.649   0.749   0.358 202 185 175  99
  L98-642        1392.002  1610.900  15.709   0.013 1.21400    0.393961  15.315   0.544   0.694   0.382 236 216 193 106
  L98-646        1449.959  1794.008  16.444   0.025 1.21400    0.393961  15.737   0.933   1.040   0.489 230 219 188 104
  L98-650        1814.658  1923.740  12.317   0.001 1.21400    0.393961  12.274   0.153   0.168   0.094 276 268 221 156
  L98-652        1301.887  1934.455  15.205   0.009 1.21400    0.393961  14.820   0.531   0.664   0.338 234 222 199 120
  L98-666         941.666  2219.066  12.781   0.002 1.21400    0.393961  12.730   0.163   0.210   0.125 251 240 212 129
