# Center : 156.006559445 -57.7522222222    
# Center : 10:24:01.57 -57:45:08           
#                                arcmin  arcmin mag      mag    mag     mag   mag   mag   mag   mag V I B U DI    mag     mag     mag     mag    mag    mag               
#   ID ID_aex    xc       yc      R.A.    I.E.C. V        V-I   B-V     U-B    eV  e(V-I)e(B-V)e(U-B)Nobs---charac J      J-H     H-Ks    eJ   e(J-H)e(H-Ks)2mass name    
  2828  17816 1570.185 1737.023  -2.045   1.524 15.795   .899   .735   .216  .003  .003  .003  .001 1 1 1 1      14.200   .263   .160   .026   .059   .081 10234626-5743366  
  2829   6914  991.113 1732.064  -2.042  -1.071 22.125  2.426  1.500   .000  .025  .026  .060  .000 1 1 1 0                                                                  
  2830   6913  844.701 1731.926  -2.037  -1.726 21.650  2.028  1.569   .000  .018  .023  .041  .000 1 1 1 0                                                                  
  2831   6954 1952.300 1743.416  -2.035   3.238 20.423  1.943  1.562   .973  .009  .009  .018  .125 1 1 1 1                                                                  
  2832   6935 1447.201 1738.104  -2.035    .972 21.279  2.140  1.604   .000  .013  .018  .033  .000 1 1 1 0                                                                  
  2833   6958 1901.145 1744.619  -2.027   3.008 20.160  1.929  1.545  1.346  .005  .010  .013  .130 1 1 1 1                                                                  
  2834   6934 1157.723 1737.763  -2.023   -.325 20.002  2.596  2.160  1.148  .001  .001  .019  .138 1 1 1 1      15.222   .985   .228   .051   .066   .071 10234640-5745274  
  2835   6926  800.099 1735.577  -2.019  -1.926 17.932  1.041   .911   .577  .003  .003  .004  .009 1 1 1 1      16.117   .199   .000   .086   .184 -9.999 10234643-5747037  
  2836   6918  477.724 1733.057  -2.018  -3.366 21.022  2.091  1.567   .000  .010  .013  .024  .000 1 1 1 0                                                                  
  2837   6923  715.769 1735.336  -2.016  -2.303 19.956  1.889  1.514   .944  .006  .008  .014  .087 1 1 1 1                                                                  
  2838   6919  120.192 1733.210  -2.005  -4.961 17.769  1.081   .973   .765  .006  .008  .009  .011 1 1 1 1      15.892   .348   .000   .070   .129 -9.999 10234650-5750055  
  2839  17080 1182.787 1742.290  -2.004   -.212 23.318   .000  -.066  -.748  .073  .000  .085  .131 1 0 1 1                                                                  
  2840   6964 1437.142 1746.524  -1.997    .928 19.039  1.357  1.204  1.109  .002  .004  .005  .034 1 1 1 1                                                                  
  2841   6970 1441.590 1747.058  -1.994    .948 17.991  1.162  1.025   .851  .003  .005  .004  .014 1 1 1 1      15.669   .562   .163   .062   .099   .140 10234662-5744116  
  2842   6929  217.678 1736.904  -1.992  -4.526 21.547  1.929  1.573   .000  .018  .024  .036  .000 1 1 1 0                                                                  
  2843   6963 1226.778 1746.388  -1.988   -.015 18.089  1.116   .985   .753  .002  .005  .004  .009 1 1 1 1      16.450   .471   .000   .121   .239 -9.999 10234664-5745092  
  2844   6995 1812.612 1753.191  -1.984   2.612 21.759  2.204  1.828   .000  .019  .021  .053  .000 1 1 1 0                                                                  
  2845   6969 1174.375 1747.025  -1.983   -.250 18.838  1.300  1.133   .856  .002  .005  .004  .005 1 1 1 1                                                                  
  2846   6972 1181.473 1747.352  -1.982   -.218 20.410  2.199  1.721   .000  .006  .006  .015  .000 1 1 1 0      16.105   .385   .162   .090   .162   .262 10234666-5745213  
  2847   7011 2029.319 1756.258  -1.981   3.584 22.023  2.465  1.753   .000  .026  .028  .069  .000 1 1 1 0                                                                  
  2848   6949  455.332 1742.266  -1.976  -3.466 21.522  2.168  1.699   .000  .021  .028  .049  .000 1 1 1 0                                                                  
  2849   6951  446.802 1742.351  -1.975  -3.504 20.129  1.641  1.350  1.394  .004  .007  .011  .104 1 1 1 1                                                                  
  2850   7002 1704.118 1754.971  -1.971   2.125 20.819  2.584  1.757   .000  .003  .006  .023  .000 1 1 1 0      15.843  1.194   .196   .073   .095   .114 10234680-5743005  
  2851   6990 1390.398 1752.059  -1.970    .718 21.797  2.565  1.561   .000  .019  .023  .043  .000 1 1 1 0                                                                  
  2852   6957  531.706 1744.654  -1.968  -3.125 21.760  2.680  1.862   .000  .022  .027  .061  .000 1 1 1 0                                                                  
  2853   7000 1486.285 1754.358  -1.964   1.148 20.290  1.957  1.563   .545  .005  .006  .013  .074 1 1 1 1                                                                  
  2854   6965  644.468 1746.670  -1.963  -2.621 19.256  1.435  1.242  1.083  .005  .007  .007  .041 1 1 1 1                                                                  
  2855   7022 1968.293 1760.712  -1.958   3.311 21.185  2.432  1.511   .000  .014  .014  .030  .000 1 1 1 0                                                                  
  2856   6961  241.898 1745.607  -1.954  -4.418 22.090  2.187  1.697   .000  .031  .033  .068  .000 1 1 1 0                                                                  
  2857   6977  494.675 1748.508  -1.949  -3.290 19.376  1.678  1.369  1.365  .006  .007  .006  .057 1 1 1 1                                                                  
  2858   7030 1900.103 1762.095  -1.949   3.005 20.612  2.131  1.515   .000  .003  .009  .023  .000 1 1 1 0                                                                  
  2859   6973  361.040 1747.957  -1.947  -3.886 21.146  2.200  1.584   .000  .007  .014  .025  .000 1 1 1 0                                                                  
  2860   6999 1012.653 1754.291  -1.944   -.974 20.123  2.168  1.602  1.322  .004  .006  .014  .131 1 1 1 1      16.119   .665   .372   .101   .146   .199 10234699-5746064  
  2861  17817  675.192 1751.558  -1.942  -2.483 14.965   .803   .561   .273  .001  .005  .001  .003 1 1 1 1      13.508   .230   .091   .022   .033   .057 10234699-5747369  
  2862   7017 1439.008 1759.316  -1.939    .937 22.340  2.422  1.916   .000  .052  .053  .095  .000 1 1 1 0                                                                  
  2863   7009 1038.849 1755.877  -1.938   -.856 17.738  1.237  1.059   .721  .003  .004  .004  .009 1 1 1 1      15.495   .432   .000   .064   .118 -9.999 10234704-5745592  
  2864   7026 1539.522 1761.210  -1.936   1.387 18.991  1.971  1.497  1.410  .004  .010  .011  .050 1 1 1 1      16.060   .865   .000   .088   .121 -9.999 10234706-5743447  
  2865   6983  226.472 1749.589  -1.935  -4.486 20.509  2.022  1.529   .859  .008  .011  .018  .106 1 1 1 1                                                                  
  2866   7043 1845.792 1764.706  -1.934   2.761 19.342  1.753  1.375   .686  .006  .010  .006  .034 1 1 1 1      16.400   .702   .000   .114   .182 -9.999 10234708-5742223  
  2867   6984  119.915 1749.607  -1.932  -4.961 16.835   .949   .799   .335  .005  .005  .005  .002 1 1 1 1      15.259   .418  -.290   .044   .072   .175 10234707-5750054  
  2868   7008  894.860 1755.868  -1.932  -1.501 21.115  2.348  1.641   .000  .015  .015  .034  .000 1 1 1 0                                                                  
  2869  17417  747.610 1755.331  -1.928  -2.159 16.855  1.197   .897   .494  .001  .001  .001  .003 1 1 1 1      14.755   .326   .066   .044   .078   .094 10234711-5747175  
  2870   7021 1274.646 1760.615  -1.926    .200 16.767   .925   .731   .190  .001  .004  .001  .002 1 1 1 1      15.095   .232   .000   .056   .092 -9.999 10234714-5744560  
  2871   7020 1223.198 1760.747  -1.924   -.030 22.237  2.314  1.683   .000  .032  .032  .071  .000 1 1 1 0                                                                  
  2872  17418 1923.923 1769.200  -1.918   3.112 16.535   .918   .786   .385  .001  .002  .005  .006 1 1 1 1      14.921   .444   .119   .040   .066   .112 10234723-5742014  
  2873   7032 1254.984 1762.466  -1.917    .112 22.082  2.435  1.799   .000  .034  .034  .075  .000 1 1 1 0                                                                  
  2874   7003  403.552 1755.301  -1.916  -3.696 19.112  2.524  1.583  1.227  .001  .006  .002  .055 1 1 1 1      15.143   .528   .208   .041   .069   .099 10234720-5748498  
  2875   7037 1261.384 1763.516  -1.913    .141 18.062  1.300  1.128  1.149  .003  .005  .004  .006 1 1 1 1      15.877   .590   .000   .085   .119 -9.999 10234723-5744596  
  2876   7047 1420.189 1765.509  -1.911    .853 19.918  2.422  1.980   .000  .006  .008  .017  .000 1 1 1 0      15.520   .956   .137   .050   .084   .109 10234724-5744169  
  2877   7025  852.278 1761.135  -1.907  -1.691 20.499  1.757  1.490   .000  .004  .006  .018  .000 1 1 1 0                                                                  
  2878   7086 1864.549 1772.912  -1.899   2.846 21.592  2.317  1.855   .000  .022  .023  .049  .000 1 1 1 0                                                                  
  2879   7049 1126.904 1765.646  -1.898   -.461 20.351  3.084  2.128   .000  .005  .005  .023  .000 1 1 1 0      14.560   .961   .448   .024   .033   .045 10234734-5745356  
  2880  17082 1152.810 1766.366  -1.895   -.345 17.879  2.589  2.191  1.562  .004  .007  .004  .065 1 1 1 1      13.131   .948   .347   .029   .041   .041 10234736-5745287  
  2881   7041  604.512 1764.234  -1.883  -2.798 21.477  3.384  2.374   .000  .020  .020  .081  .000 1 1 1 0      15.074  1.244   .498   .096   .112   .071 10234743-5747558  
  2882  17081  140.316 1760.921  -1.882  -4.869 17.604  2.860  2.244  1.163  .001  .001  .006  .039 1 1 1 1      12.323  1.061   .405   .023   .032   .029 10234743-5750001  
  2883   7023   82.254 1760.858  -1.881  -5.128 21.930  2.195  1.744   .000  .027  .028  .058  .000 1 1 1 0                                                                  
  2884   7096 1624.666 1774.604  -1.880   1.770 20.607  2.100  1.545   .000  .007  .009  .019  .000 1 1 1 0                                                                  
  2885   7044  571.918 1765.065  -1.878  -2.944 19.119  1.863  1.479  1.284  .005  .009  .007  .040 1 1 1 1      16.085   .599  -.053   .140   .201   .287 10234746-5748043  
  2886   7062  714.003 1767.650  -1.872  -2.309 21.964  2.456  1.508   .000  .027  .033  .052  .000 1 1 1 0                                                                  
  2887   7093 1344.693 1774.295  -1.868    .515 18.952  1.664  1.312   .653  .002  .007  .003  .004 1 1 1 1                                                                  
  2888   7109 1597.279 1776.866  -1.868   1.647 18.972  1.333  1.176  1.113  .003  .004  .006  .032 1 1 1 1                                                                  
  2889   7116 1659.633 1777.767  -1.867   1.927 22.744  2.720  1.313   .000  .061  .062  .099  .000 1 1 1 0                                                                  
  2890   7061  516.861 1767.375  -1.866  -3.189 20.862  2.180  1.696   .000  .012  .013  .026  .000 1 1 1 0                                                                  
  2891   7051  295.992 1765.914  -1.865  -4.175 17.998  1.191   .975   .476  .002  .006  .004  .006 1 1 1 1      15.956   .493   .535   .098   .160   .185 10234756-5749185  
  2892   7094 1192.497 1774.484  -1.861   -.167 18.756  1.280  1.129   .942  .001  .001  .004  .016 1 1 1 1                                                                  
  2893   7095 1183.145 1774.555  -1.860   -.209 19.805  2.072  1.595   .883  .002  .005  .010  .060 1 1 1 1      15.996   .496   .460   .091   .160   .195 10234761-5745203  
  2894   7078  815.974 1771.240  -1.860  -1.853 22.081  2.517  1.718   .000  .033  .033  .071  .000 1 1 1 0                                                                  
  2895   7083  619.469 1772.365  -1.848  -2.731 19.170  1.369  1.195  1.262  .003  .006  .004  .037 1 1 1 1                                                                  
  2896   7068  165.171 1769.052  -1.847  -4.758 22.483  2.454  1.544   .000  .037  .040  .077  .000 1 1 1 0                                                                  
  2897  17819 1376.378 1779.517  -1.846    .657 15.194  1.317   .966   .127  .001  .003  .002  .003 1 1 1 1      12.754   .348   .183   .023   .032   .033 10234774-5744285  
  2898  17818  987.227 1776.205  -1.845  -1.086 16.053   .989   .739   .542  .000  .001  .002  .002 1 1 1 1      14.260   .359   .046   .023   .035   .059 10234774-5746132  
  2899   7153 1920.888 1785.985  -1.843   3.099 19.961  1.474  1.219   .906  .002  .008  .010  .067 1 1 1 1                                                                  
  2900   7104  633.135 1775.844  -1.832  -2.670 20.600  1.905  1.560   .000  .003  .009  .024  .000 1 1 1 0                                                                  
  2901   7113  734.416 1777.181  -1.830  -2.217 20.616  2.659  1.934   .000  .002  .004  .027  .000 1 1 1 0      15.616   .941   .326   .082   .103   .096 10234784-5747209  
  2902  18246 1777.392 1787.451  -1.829   2.455 13.819   .592   .456   .104  .001  .001  .007  .008 1 1 1 1      12.816   .165   .122   .028   .053   .068 10234787-5742407  
  2903   7092  262.492 1774.157  -1.827  -4.324 22.218  2.404  1.889   .000  .029  .029  .082  .000 1 1 1 0                                                                  
  2904   7085   31.842 1772.811  -1.826  -5.352 22.251  2.302  1.804   .000  .032  .032  .087  .000 1 1 1 0                                                                  
  2905   7129  935.584 1781.008  -1.821  -1.317 22.258  2.260  1.690   .000  .034  .035  .058  .000 1 1 1 0                                                                  
  2906   7166 1856.731 1790.897  -1.818   2.811 20.406  1.857  1.534  1.178  .003  .009  .015  .138 1 1 1 1                                                                  
  2907   7160 1681.560 1789.697  -1.815   2.026 19.191  1.497  1.222   .739  .002  .006  .004  .009 1 1 1 1                                                                  
  2908   7123  507.747 1779.661  -1.811  -3.229 18.878  1.343  1.180  1.067  .003  .005  .004  .008 1 1 1 1                                                                  
  2909   7165 1619.193 1790.783  -1.807   1.746 17.145  1.023   .780   .267  .001  .007  .003  .004 1 1 1 1      15.214   .459   .407   .080   .134   .154 10234803-5743231  
  2910   7174 1866.858 1793.413  -1.807   2.857 20.125  1.644  1.351   .916  .011  .015  .016  .080 1 1 1 1                                                                  
  2911   7132  594.998 1781.331  -1.807  -2.840 19.503  2.344  1.623   .392  .008  .011  .008  .042 1 1 1 1      15.083   .583   .243   .070   .105   .110 10234800-5747583  
  2912   7193 1894.828 1798.371  -1.786   2.983 20.474  2.017  1.535   .000  .005  .005  .016  .000 1 1 1 0                                                                  
  2913   7152  497.851 1786.151  -1.782  -3.273 21.865  2.736  1.652   .000  .045  .047  .058  .000 1 1 1 0                                                                  
  2914   7141  117.611 1783.343  -1.782  -4.969 22.050  2.262  1.874   .000  .024  .024  .075  .000 1 1 1 0                                                                  
  2915   7189 1669.951 1797.623  -1.779   1.974 18.463  1.293  1.128  1.109  .001  .009  .004  .009 1 1 1 1      16.194   .000   .000   .123 -9.999 -9.999 10234826-5743095  
  2916   7158  731.665 1789.231  -1.776  -2.228 20.195  1.625  1.387   .000  .006  .007  .011  .000 1 1 1 0                                                                  
  2917   7198 1769.463 1799.791  -1.774   2.421 19.213  1.483  1.246  1.032  .006  .008  .024  .061 1 1 1 1                                                                  
  2918   7195 1582.506 1799.017  -1.769   1.582 19.270  1.572  1.285   .654  .001  .004  .008  .029 1 1 1 1                                                                  
  2919   7157   73.119 1787.563  -1.761  -5.167 21.421  2.271  1.780   .000  .014  .018  .033  .000 1 1 1 0                                                                  
  2920   7171  748.227 1792.850  -1.761  -2.154 22.568  2.288  1.740   .000  .043  .048  .089  .000 1 1 1 0                                                                  
  2921   7162  470.703 1790.635  -1.761  -3.394 21.598  2.153  1.778   .000  .023  .023  .045  .000 1 1 1 0                                                                  
  2922   7221 1763.244 1804.170  -1.754   2.393 20.852  1.984  1.398   .000  .014  .015  .036  .000 1 1 1 0                                                                  
  2923   7168  177.042 1791.813  -1.746  -4.704 18.828  1.452  1.168   .591  .001  .002  .005  .010 1 1 1 1      16.237   .545   .000   .095   .162 -9.999 10234842-5749500  
  2924   7237 2012.370 1809.392  -1.743   3.511 18.125  1.104   .976   .840  .005  .006  .005  .013 1 1 1 1      16.350   .000   .000   .112 -9.999 -9.999 10234853-5741375  
  2925   7180  276.958 1794.834  -1.735  -4.258 18.221  2.089  1.538   .954  .002  .004  .003  .014 1 1 1 1      14.370   .630   .249   .028   .036   .044 10234854-5749234  
  2926   7217 1261.994 1803.510  -1.734    .146 18.464  2.525  2.023  1.370  .002  .003  .004  .046 1 1 1 1      13.846   .945   .333   .024   .035   .045 10234856-5744592  
  2927  17820 1178.263 1802.722  -1.734   -.229 16.281   .880   .768   .311  .000  .008  .001  .003 1 1 1 1      14.796   .340   .283   .032   .039   .071 10234857-5745217  
  2928   7230 1601.968 1807.298  -1.733   1.670 20.675  1.913  1.523   .648  .008  .011  .019  .110 1 1 1 1                                                                  
  2929   7243 1783.746 1810.486  -1.727   2.485 21.844  2.376  1.962   .000  .025  .027  .068  .000 1 1 1 0                                                                  
  2930   7186  224.131 1797.529  -1.722  -4.493 19.619  1.483  1.230   .986  .006  .006  .008  .051 1 1 1 1                                                                  
  2931   7199  491.231 1799.881  -1.720  -3.302 20.222  2.234  1.718   .884  .004  .007  .015  .091 1 1 1 1      16.218   .793   .648   .116   .177   .209 10234863-5748261  
  2932   7212  698.956 1802.736  -1.715  -2.374 19.532  1.702  1.306   .601  .004  .007  .008  .033 1 1 1 1      16.482   .566   .000   .144   .222 -9.999 10234873-5747304  
  2933   7208  574.535 1801.805  -1.715  -2.930 20.192  2.082  1.622   .000  .003  .012  .033  .000 1 1 1 0                                                                  
  2934   7241 1492.480 1810.244  -1.714   1.179 20.054  1.978  1.515   .638  .007  .009  .013  .064 1 1 1 1      16.374   .496   .000   .105   .189 -9.999 10234873-5743570  
  2935   7260 1885.467 1814.664  -1.713   2.942 22.109  2.110  1.751   .000  .033  .034  .079  .000 1 1 1 0                                                                  
  2936   7235 1318.994 1809.087  -1.712    .402 20.083  2.016  1.524  1.510  .008  .011  .014  .122 1 1 1 1                                                                  
  2937  18247 1028.946 1807.015  -1.709   -.898 14.244   .571   .443   .080  .001  .002  .001  .004 1 1 1 1      13.313   .162  -.007   .024   .038   .054 10234876-5746018  
  2938   7232 1110.746 1808.359  -1.706   -.531 18.894  1.230  1.057   .766  .005  .005  .006  .026 1 1 1 1                                                                  
  2939   7226  765.227 1805.421  -1.705  -2.077 22.338  2.802  1.446   .000  .033  .033  .078  .000 1 1 1 0                                                                  
  2940   7233 1045.003 1808.711  -1.702   -.826 20.439  2.512  1.919   .000  .011  .012  .022  .000 1 1 1 0      15.927   .882   .285   .081   .137   .176 10234880-5745575  
  2941   7273 1971.585 1819.270  -1.697   3.328 20.468  2.662  2.190   .000  .009  .009  .027  .000 1 1 1 0      15.751   .928   .423   .062   .079   .090 10234886-5741483  
  2942   7214  170.596 1803.128  -1.695  -4.732 20.905  2.238  1.695   .000  .004  .006  .021  .000 1 1 1 0                                                                  
  2943   7220  134.748 1804.042  -1.690  -4.891 19.618  2.098  1.597   .824  .004  .004  .004  .056 1 1 1 1      15.942   .952   .197   .073   .100   .127 10234888-5750015  
  2944   7242  867.071 1810.529  -1.687  -1.622 21.971  2.150  1.659   .000  .022  .029  .056  .000 1 1 1 0                                                                  
  2945   7247  917.597 1811.021  -1.686  -1.396 20.395  2.142  1.621   .000  .004  .007  .016  .000 1 1 1 0      16.453   .604   .564   .137   .227   .260 10234889-5746316  
  2946   7245  739.001 1810.925  -1.680  -2.194 20.805  1.925  1.521   .000  .007  .007  .018  .000 1 1 1 0                                                                  
  2947   7290 1929.819 1823.850  -1.674   3.141 19.728  2.928  2.417   .000  .006  .007  .018  .000 1 1 1 0      14.471  1.151   .336   .023   .032   .040 10234903-5741596  
  2948  17419   93.408 1807.730  -1.672  -5.075 16.179  2.093  1.784  1.547  .000  .003  .003  .013 1 1 1 1      12.420   .803   .279   .022   .031   .030 10234900-5750124  
  2949   7231  102.495 1807.975  -1.671  -5.035 20.808  2.160  2.106   .000  .079  .082  .085  .000 1 1 1 0                                                                  
  2950   7282 1519.103 1820.627  -1.669   1.299 22.321  2.329  2.007   .000  .038  .038  .083  .000 1 1 1 0                                                                  
  2951   7268 1073.250 1816.462  -1.668   -.699 20.334  1.904  1.543   .000  .001  .004  .012  .000 1 1 1 0                                                                  
  2952   7244  256.620 1810.694  -1.664  -4.348 21.613  2.397  1.864   .000  .019  .022  .044  .000 1 1 1 0                                                                  
  2953  17821  544.718 1813.564  -1.661  -3.062 16.106   .950   .844   .482  .002  .007  .008  .009 1 1 1 1                                                                  
  2954   7276 1127.339 1819.803  -1.656   -.456 18.714  1.323  1.146   .864  .007  .007  .009  .021 1 1 1 1      16.383   .000   .000   .117 -9.999 -9.999 10234916-5745353  
  2955   7280 1148.591 1820.263  -1.655   -.361 20.824  2.032  1.617   .795  .005  .008  .024  .140 1 1 1 1                                                                  
  2956   7297 1644.734 1825.716  -1.652   1.862 21.896  2.211  1.871   .000  .019  .021  .063  .000 1 1 1 0                                                                  
  2957   7253   41.968 1812.078  -1.651  -5.304 18.962  1.391  1.207  1.205  .001  .008  .001  .031 1 1 1 1                                                                  
  2958   7296 1542.265 1825.171  -1.650   1.403 20.640  1.932  1.601   .000  .007  .010  .020  .000 1 1 1 0                                                                  
  2959   7304 1811.303 1827.989  -1.650   2.610 18.615  1.818  1.397   .838  .002  .005  .004  .008 1 1 1 1      15.060   .461   .481   .104   .151   .162 10234922-5742312  
  2960   7312 1822.165 1829.852  -1.642   2.658 19.586  2.102  1.609   .858  .004  .011  .008  .058 1 1 1 1                                                                  
  2961   7283  671.912 1821.336  -1.631  -2.493 20.713  2.846  1.887   .556  .008  .009  .026  .117 1 1 1 1                                                                  
  2962   7272  131.604 1817.509  -1.630  -4.904 21.543  2.348  1.576   .000  .016  .017  .038  .000 1 1 1 0                                                                  
  2963   7331 1816.716 1833.262  -1.627   2.634 20.503  1.718  1.474   .000  .009  .016  .021  .000 1 1 1 0                                                                  
  2964  17420 1284.610 1828.772  -1.622    .249 16.740   .982   .828   .347  .001  .003  .002  .004 1 1 1 1                                                                  
  2965   7279  275.147 1820.251  -1.622  -4.264 21.846  2.893  1.807   .000  .020  .020  .053  .000 1 1 1 0                                                                  
  2966   7288  638.198 1823.329  -1.621  -2.644 22.294  2.637  1.574   .000  .030  .032  .064  .000 1 1 1 0                                                                  
  2967   7329 1687.083 1833.221  -1.621   2.053 22.167  2.293  1.645   .000  .030  .034  .071  .000 1 1 1 0                                                                  
  2968   7302 1035.893 1827.713  -1.617   -.865 21.525  2.323  1.781   .000  .020  .023  .045  .000 1 1 1 0                                                                  
  2969  17083  447.401 1822.818  -1.616  -3.496 17.081  1.260   .918   .697  .004  .004  .006  .006 1 1 1 1      14.676   .280   .030   .029   .049   .087 10234944-5748377  
  2970   7308 1050.511 1828.734  -1.613   -.800 18.369  1.206  1.062   .903  .008  .009  .009  .020 1 1 1 1      16.353   .000   .000   .154 -9.999 -9.999 10234949-5745560  
  2971   7346 1839.816 1836.699  -1.612   2.738 18.518  1.274  1.054   .568  .004  .004  .006  .018 1 1 1 1      15.765   .281   .000   .215   .312 -9.999 10234949-5742237  
  2972   7289  347.576 1823.718  -1.609  -3.941 20.573  1.884  1.474   .739  .003  .008  .016  .095 1 1 1 1                                                                  
  2973   7332 1316.373 1833.331  -1.603    .391 18.362  1.314  1.007   .275  .002  .004  .070  .070 1 1 1 1                                                                  
  2974   7318 1032.254 1830.960  -1.602   -.881 21.653  2.257  1.794   .000  .023  .026  .045  .000 1 1 1 0                                                                  
  2975   7363 1985.009 1841.829  -1.597   3.389 22.224  2.903  1.847   .000  .029  .031  .089  .000 1 1 1 0                                                                  
  2976   7364 1976.455 1841.807  -1.596   3.351 20.008  1.728  1.400  1.394  .004  .006  .012  .105 1 1 1 1                                                                  
  2977   7338 1325.636 1835.063  -1.596    .433 21.369  2.095  1.628   .000  .016  .016  .033  .000 1 1 1 0                                                                  
  2978   7339 1314.075 1835.065  -1.596    .381 19.215  1.355  1.206   .000  .001  .024  .044  .000 1 1 1 0                                                                  
  2979   7303  490.239 1827.930  -1.595  -3.304 21.190  1.971  1.526   .000  .014  .015  .030  .000 1 1 1 0                                                                  
  2980   7356 1664.412 1839.557  -1.591   1.951 19.588  1.641  1.343  1.166  .007  .008  .007  .069 1 1 1 1      16.514   .000   .000   .130 -9.999 -9.999 10234963-5743110  
  2981   7354 1554.562 1838.914  -1.589   1.459 22.274  2.684  1.599   .000  .034  .034  .079  .000 1 1 1 0                                                                  
  2982   7325  802.795 1831.850  -1.589  -1.908 21.233  2.028  1.592   .000  .013  .015  .033  .000 1 1 1 0                                                                  
  2983   7307  367.124 1828.377  -1.589  -3.854 20.518  2.549  1.967   .000  .006  .008  .022  .000 1 1 1 0                                                                  
  2984   7343 1159.929 1835.928  -1.585   -.309 21.605  1.909  1.632   .000  .017  .018  .044  .000 1 1 1 0                                                                  
  2985  17823  846.298 1833.307  -1.584  -1.713 16.455   .890   .685   .089  .003  .007  .003  .007 1 1 1 1                                                                  
  2986   7306   45.351 1828.297  -1.579  -5.288 18.439  1.645  1.220   .830  .004  .006  .006  .006 1 1 1 1                                                                  
  2987   7351 1232.110 1838.126  -1.578    .014 21.599  2.193  1.632   .000  .023  .024  .052  .000 1 1 1 0                                                                  
  2988   7309  103.781 1829.517  -1.575  -5.027 20.318  1.772  1.465   .000  .007  .011  .013  .000 1 1 1 0                                                                  
  2989   7310   71.306 1829.459  -1.575  -5.172 22.056  2.237  1.879   .000  .028  .032  .074  .000 1 1 1 0                                                                  
  2990   7319  289.676 1831.110  -1.574  -4.199 21.900  2.343  1.818   .000  .019  .021  .066  .000 1 1 1 0                                                                  
  2991   7353 1148.013 1838.383  -1.574   -.363 18.304  1.302  1.037   .426  .002  .005  .004  .004 1 1 1 1      15.990   .544   .005   .090   .156   .254 10234978-5745295  
  2992   7323  320.692 1831.476  -1.573  -4.061 18.883  1.675  1.238   .776  .003  .008  .003  .012 1 1 1 1                                                                  
  2993   7371 1697.535 1844.534  -1.571   2.100 20.886  2.113  1.617   .000  .003  .004  .024  .000 1 1 1 0                                                                  
  2994   7345  904.545 1836.850  -1.571  -1.452 22.291  2.631  1.590   .000  .024  .026  .076  .000 1 1 1 0                                                                  
  2995   7347  918.270 1837.108  -1.570  -1.391 22.336  2.295  1.661   .000  .033  .033  .074  .000 1 1 1 0                                                                  
  2996  18249  705.565 1836.227  -1.566  -2.342 14.582   .643   .512   .043  .002  .005  .002  .004 1 1 1 1                                                                  
  2997   7386 1718.677 1849.138  -1.551   2.195 22.053  2.344  1.742   .000  .028  .028  .071  .000 1 1 1 0                                                                  
  2998   7372 1253.953 1844.469  -1.551    .112 18.880  2.255  1.553   .640  .015  .025  .016  .004 1 1 1 1                                                                  
  2999   7393 1872.693 1851.202  -1.549   2.886 18.225  1.164   .942   .406  .002  .007  .005  .007 1 1 1 1      15.998   .208   .000   .164   .258 -9.999 10234999-5742150  
  3000   7352  497.038 1838.543  -1.548  -3.273 21.517  2.043  1.694   .000  .016  .021  .045  .000 1 1 1 0                                                                  
  3001   7378 1277.127 1846.321  -1.544    .216 20.150  1.575  1.316   .890  .004  .007  .010  .079 1 1 1 1                                                                  
  3002   7366  624.469 1842.167  -1.536  -2.704 19.832  1.764  1.355   .697  .003  .006  .009  .054 1 1 1 1                                                                  
  3003  17085  843.773 1844.561  -1.534  -1.724 18.092  2.629  2.056  1.225  .004  .004  .004  .051 1 1 1 1      13.331   .956   .296   .029   .048   .050 10235005-5746514  
  3004   7404 1806.842 1854.328  -1.532   2.591 21.601  2.296  1.546   .000  .032  .035  .061  .000 1 1 1 0                                                                  
  3005   7379 1032.494 1846.716  -1.532   -.879 20.391  2.216  1.693   .000  .006  .013  .017  .000 1 1 1 0      16.410   .632   .221   .128   .207   .282 10235010-5746009  
  3006  17826 1936.383 1856.113  -1.530   3.172 16.616   .870   .690   .151  .000  .000  .007  .007 1 1 1 1      15.160   .280   .006   .043   .076   .143 10235011-5741577  
  3007  17824   29.517 1839.366  -1.529  -5.357 15.201  1.039   .786   .365  .002  .004  .003  .002 1 1 1 1                                                                  
  3008   7412 1834.384 1855.537  -1.528   2.715 18.945  1.405  1.171   .883  .006  .007  .007  .020 1 1 1 1      16.090   .000   .000   .163 -9.999 -9.999 10235012-5742247  
  3009  17421  944.921 1847.339  -1.525  -1.271 16.052  3.331  2.612   .000  .001  .001  .002  .000 1 1 1 0      10.162  1.233   .540   .023   .037   .038 10235012-5746242  
  3010  18250  427.861 1844.961  -1.517  -3.582 14.652   .602   .476   .090  .001  .002  .001  .005 1 1 1 1      13.660   .125   .023   .022   .031   .034 10235018-5748428  
  3011   7430 1896.750 1859.009  -1.515   2.994 22.293  2.526  1.952   .000  .033  .033  .095  .000 1 1 1 0                                                                  
  3012   7369   71.717 1844.204  -1.509  -5.169 21.946  2.247  1.675   .000  .026  .027  .061  .000 1 1 1 0                                                                  
  3013   7413 1225.237 1855.563  -1.500   -.016 17.049  1.039   .800   .314  .003  .004  .005  .004 1 1 1 1                                                                  
