#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L104-S533      1566.806  3657.138  15.995   0.018 1.15200    5.244939  16.467   0.543   0.699   0.357  67  50  67  37
  L104-S540       992.945  3890.943  15.323   0.010 1.15200    5.244939  15.825   1.004   1.150   0.509  50  32  44  29
  L104-S671      2003.418  3790.576  17.074   0.044 1.15200    5.244939  17.568   1.064   1.253   0.547  56  40  56  34
  L107-611       1368.690   152.966  13.877   0.003 1.37800    5.709024  14.287   0.870   0.997   0.469  87  64  87  62
c L107-612        804.516   170.042  13.862   0.003 1.37800    5.709024  14.267   0.914   1.089   0.544  83  61  83  58
  L107-614       1236.070   490.088  13.526   0.003 1.37800    5.709024  13.939   0.611   0.742   0.380  85  65  81  61
  L107-619        143.844  1025.901  11.712   0.001 1.37800    5.709024  12.121   0.625   0.766   0.386  92  70  68  48
  L107-626        271.838  1836.581  13.104   0.002 1.37800    5.709024  13.484   0.994   1.127   0.519 102  85 100  79
  L107-627        294.635  1954.632  12.944   0.002 1.37800    5.709024  13.351   0.781   0.916   0.457  92  76  87  75
  L107-636        848.311  3826.108  14.440   0.005 1.37800    5.709024  14.882   0.742   0.882   0.448  39  32  32  25
  L107-639        334.143  4067.070  13.741   0.003 1.37800    5.709024  14.185   0.657   0.805   0.381  44  36  36  30
  L107-S20        360.550  2456.113  15.540   0.010 1.37800    5.709024  15.985   0.803   0.916   0.446  62  47  60  40
  L107-S57        266.677  1668.321  17.019   0.037 1.37800    5.709024  17.517   0.138   0.229   0.165  81  65  75  56
  L107-S197      1045.904    91.318  12.917   0.002 1.37800    5.709024  13.329   1.022   1.169   0.521  84  55  84  56
  L107-S205      1299.045   150.405  16.460   0.023 1.37800    5.709024  16.890   0.814   0.959   0.478  85  60  85  58
  L107-S207      1168.990   152.121  16.085   0.017 1.37800    5.709024  18.268   0.721   0.905   0.457  81  57  81  58
  L107-S208       575.399   156.011  16.717   0.029 1.37800    5.709024  17.085   1.056   1.256   0.574  83  60  83  58
  L107-S210       223.008   199.448  17.339   0.048 1.37800    5.709024  17.752   0.825   0.997   0.491  83  60  83  58
  L107-S218      1023.847   366.763  16.938   0.035 1.37800    5.709024  17.277   1.557   2.001   0.993  64  48  64  49
  L107-S220      1083.007   385.987  16.648   0.026 1.37800    5.709024  17.029   1.163   1.434   0.649  60  48  60  51
  L107-S222       278.460   387.871  15.516   0.010 1.37800    5.709024  15.938   0.951   1.092   0.536  62  49  62  52
  L107-S247      1373.063   616.284  16.512   0.024 1.37800    5.709024  16.913   0.723   0.879   0.448  79  60  74  54
  L107-S250       510.783   675.082  15.940   0.014 1.37800    5.709024  16.355   0.893   1.097   0.545  82  61  77  56
  L107-S263       550.074   839.924  17.228   0.046 1.37800    5.709024  17.645   0.922   1.090   0.521  80  59  75  56
  L107-S266       421.525   877.204  14.389   0.004 1.37800    5.709024  14.801   0.774   0.870   0.427  80  60  76  56
  L107-S267        92.843   896.344  15.686   0.011 1.37800    5.709024  16.101   0.735   0.863   0.431  74  56  70  51
  L107-S298       928.797  1283.220  15.983   0.015 1.37800    5.709024  16.398   0.779   0.880   0.431  76  58  74  51
  L107-S313      1313.686  1417.932  15.438   0.010 1.37800    5.709024  15.868   0.901   0.989   0.463  79  63  74  57
  L107-S319      1775.343  1508.722  16.217   0.019 1.37800    5.709024  16.638   0.931   1.151   0.541  67  51  62  44
  L107-S327      1266.950  1669.903  15.511   0.010 1.37800    5.709024  15.950   0.150   0.256   0.175  79  62  74  57
  L107-S351       584.722  1922.591  16.699   0.028 1.37800    5.709024  17.174   0.885   1.065   0.515  52  40  43  31
  L107-S550      1800.913    97.201  15.866   0.014 1.37800    5.709024  16.276   0.813   0.964   0.483  79  51  77  53
  L107-S563      1954.990   558.960  14.109   0.004 1.37800    5.709024  14.505   0.988   1.105   0.541  76  56  71  49
  L107-S575      1954.674   870.163  15.994   0.015 1.37800    5.709024  16.443   1.388   1.664   0.752  72  52  67  48
  L107-S578      1972.941   988.372  16.521   0.024 1.37800    5.709024  16.892   1.134   1.392   0.649  72  55  70  47
  L107-S579      1143.225   994.861  12.595   0.001 1.37800    5.709024  13.008   0.990   1.150   0.529  82  61  76  51
  L107-S589      1839.882  1282.565  15.825   0.014 1.37800    5.709024  16.245   0.517   0.659   0.340  69  56  66  48
  L107-S609      1708.945  1767.593  15.496   0.010 1.37800    5.709024  15.901   0.693   0.843   0.426  67  53  62  47
  L107-S632      1786.688  2057.917  16.776   0.029 1.37800    5.709024  17.126   0.829   0.962   0.458  63  48  58  47
  L107-S639       742.075  2100.840  14.689   0.005 1.37800    5.709024  15.109   0.734   0.862   0.431  61  50  58  45
  L107-S666      2016.075  2461.743  17.299   0.049 1.37800    5.709024  17.792   0.741   0.898   0.433  52  40  45  34
  L107-S680       903.610  2565.004  16.859   0.032 1.37800    5.709024  17.282   0.692   0.844   0.424  53  40  49  37
c L107-S682      1342.486  2569.458  15.838   0.013 1.37800    5.709024  16.280   0.710   0.890   0.436  54  41  50  37
  L107-S693      1195.975  2730.839  16.859   0.032 1.37800    5.709024  17.299   0.672   0.830   0.413  52  39  47  37
